Title,Rank,Mean Score,Genres,Number of Episodes,Media Type,Studios,Start Date
The First Slam Dunk,28,8.82,"[{'id': 46, 'name': 'Award Winning'}, {'id': 23, 'name': 'School'}, {'id': 27, 'name': 'Shounen'}, {'id': 30, 'name': 'Sports'}, {'id': 77, 'name': 'Team Sports'}]",1,movie,"[{'id': 18, 'name': 'Toei Animation'}, {'id': 1111, 'name': 'DandeLion Animation Studio'}]",2022-12-03
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,29,8.82,"[{'id': 4, 'name': 'Comedy'}, {'id': 8, 'name': 'Drama'}, {'id': 22, 'name': 'Romance'}, {'id': 23, 'name': 'School'}, {'id': 42, 'name': 'Seinen'}]",1,movie,"[{'id': 56, 'name': 'A-1 Pictures'}]",2022-12-17
Bocchi the Rock!,30,8.81,"[{'id': 52, 'name': 'CGDCT'}, {'id': 4, 'name': 'Comedy'}, {'id': 19, 'name': 'Music'}]",12,tv,"[{'id': 1835, 'name': 'CloverWorks'}]",2022-10-09
Gintama.: Shirogane no Tamashii-hen,31,8.81,"[{'id': 1, 'name': 'Action'}, {'id': 4, 'name': 'Comedy'}, {'id': 57, 'name': 'Gag Humor'}, {'id': 13, 'name': 'Historical'}, {'id': 20, 'name': 'Parody'}, {'id': 21, 'name': 'Samurai'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 27, 'name': 'Shounen'}]",12,tv,"[{'id': 1258, 'name': 'Bandai Namco Pictures'}]",2018-01-08
Kingdom 3rd Season,32,8.81,"[{'id': 1, 'name': 'Action'}, {'id': 13, 'name': 'Historical'}, {'id': 38, 'name': 'Military'}, {'id': 42, 'name': 'Seinen'}]",26,tv,"[{'id': 1, 'name': 'Pierrot'}, {'id': 1998, 'name': 'Studio Signpost'}]",2020-04-06
Vinland Saga Season 2,33,8.81,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 8, 'name': 'Drama'}, {'id': 58, 'name': 'Gore'}, {'id': 13, 'name': 'Historical'}, {'id': 42, 'name': 'Seinen'}]",24,tv,"[{'id': 569, 'name': 'MAPPA'}]",2023-01-10
Mob Psycho 100 II,34,8.8,"[{'id': 1, 'name': 'Action'}, {'id': 4, 'name': 'Comedy'}, {'id': 31, 'name': 'Super Power'}, {'id': 37, 'name': 'Supernatural'}]",13,tv,"[{'id': 4, 'name': 'Bones'}]",2019-01-07
Kizumonogatari III: Reiketsu-hen,35,8.79,"[{'id': 1, 'name': 'Action'}, {'id': 7, 'name': 'Mystery'}, {'id': 37, 'name': 'Supernatural'}, {'id': 32, 'name': 'Vampire'}]",1,movie,"[{'id': 44, 'name': 'Shaft'}]",2017-01-06
Shingeki no Kyojin: The Final Season,36,8.79,"[{'id': 1, 'name': 'Action'}, {'id': 8, 'name': 'Drama'}, {'id': 58, 'name': 'Gore'}, {'id': 38, 'name': 'Military'}, {'id': 27, 'name': 'Shounen'}, {'id': 76, 'name': 'Survival'}, {'id': 41, 'name': 'Suspense'}]",16,tv,"[{'id': 569, 'name': 'MAPPA'}]",2020-12-07
Kimetsu no Yaiba: Yuukaku-hen,37,8.78,"[{'id': 1, 'name': 'Action'}, {'id': 10, 'name': 'Fantasy'}, {'id': 13, 'name': 'Historical'}, {'id': 27, 'name': 'Shounen'}]",11,tv,"[{'id': 43, 'name': 'ufotable'}]",2021-12-05
