Title,Rank,Mean Score,Genres,Number of Episodes,Media Type,Studios,Start Date
Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,158,8.44,"[{'id': 2, 'name': 'Adventure'}, {'id': 4, 'name': 'Comedy'}, {'id': 10, 'name': 'Fantasy'}, {'id': 62, 'name': 'Isekai'}, {'id': 20, 'name': 'Parody'}, {'id': 72, 'name': 'Reincarnation'}]",1,movie,"[{'id': 7, 'name': 'J.C.Staff'}]",2019-08-30
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,159,8.44,"[{'id': 8, 'name': 'Drama'}, {'id': 10, 'name': 'Fantasy'}, {'id': 62, 'name': 'Isekai'}, {'id': 40, 'name': 'Psychological'}, {'id': 41, 'name': 'Suspense'}, {'id': 78, 'name': 'Time Travel'}]",12,tv,"[{'id': 314, 'name': 'White Fox'}]",2021-01-06
Mushishi Zoku Shou: Odoro no Michi,160,8.43,"[{'id': 50, 'name': 'Adult Cast'}, {'id': 2, 'name': 'Adventure'}, {'id': 13, 'name': 'Historical'}, {'id': 63, 'name': 'Iyashikei'}, {'id': 7, 'name': 'Mystery'}, {'id': 42, 'name': 'Seinen'}, {'id': 36, 'name': 'Slice of Life'}, {'id': 37, 'name': 'Supernatural'}]",1,special,"[{'id': 8, 'name': 'Artland'}]",2014-08-20
Saenai Heroine no Sodatekata Fine,161,8.43,"[{'id': 4, 'name': 'Comedy'}, {'id': 35, 'name': 'Harem'}, {'id': 69, 'name': 'Otaku Culture'}, {'id': 22, 'name': 'Romance'}, {'id': 23, 'name': 'School'}]",1,movie,"[{'id': 1835, 'name': 'CloverWorks'}]",2019-10-26
Fruits Basket: Prelude,162,8.43,"[{'id': 8, 'name': 'Drama'}, {'id': 22, 'name': 'Romance'}, {'id': 25, 'name': 'Shoujo'}]",1,movie,"[{'id': 73, 'name': 'TMS Entertainment'}]",2022-02-18
Gintama: Yorinuki Gintama-san on Theater 2D,163,8.43,"[{'id': 1, 'name': 'Action'}, {'id': 4, 'name': 'Comedy'}, {'id': 57, 'name': 'Gag Humor'}, {'id': 13, 'name': 'Historical'}, {'id': 20, 'name': 'Parody'}, {'id': 21, 'name': 'Samurai'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 27, 'name': 'Shounen'}]",2,movie,"[{'id': 14, 'name': 'Sunrise'}]",2012-08-26
Grand Blue,164,8.43,"[{'id': 50, 'name': 'Adult Cast'}, {'id': 4, 'name': 'Comedy'}, {'id': 42, 'name': 'Seinen'}]",12,tv,"[{'id': 1379, 'name': 'Zero-G'}]",2018-07-14
Dr. Stone: New World Part 2,165,8.41,"[{'id': 2, 'name': 'Adventure'}, {'id': 4, 'name': 'Comedy'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 27, 'name': 'Shounen'}, {'id': 78, 'name': 'Time Travel'}]",11,tv,"[{'id': 73, 'name': 'TMS Entertainment'}]",2023-10-12
Karakai Jouzu no Takagi-san 3,166,8.42,"[{'id': 4, 'name': 'Comedy'}, {'id': 74, 'name': 'Romantic Subtext'}, {'id': 23, 'name': 'School'}, {'id': 27, 'name': 'Shounen'}]",12,tv,"[{'id': 247, 'name': 'Shin-Ei Animation'}]",2022-01-08
Kono Oto Tomare! Part 2,166,8.42,"[{'id': 8, 'name': 'Drama'}, {'id': 19, 'name': 'Music'}, {'id': 70, 'name': 'Performing Arts'}, {'id': 22, 'name': 'Romance'}, {'id': 23, 'name': 'School'}, {'id': 27, 'name': 'Shounen'}]",13,tv,"[{'id': 1471, 'name': 'Platinum Vision'}]",2019-10-06
Koukaku Kidoutai: Stand Alone Complex,167,8.42,"[{'id': 1, 'name': 'Action'}, {'id': 50, 'name': 'Adult Cast'}, {'id': 46, 'name': 'Award Winning'}, {'id': 39, 'name': 'Detective'}, {'id': 18, 'name': 'Mecha'}, {'id': 38, 'name': 'Military'}, {'id': 7, 'name': 'Mystery'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 42, 'name': 'Seinen'}]",26,tv,"[{'id': 10, 'name': 'Production I.G'}]",2002-10-01
Mononoke,169,8.42,"[{'id': 50, 'name': 'Adult Cast'}, {'id': 13, 'name': 'Historical'}, {'id': 14, 'name': 'Horror'}, {'id': 7, 'name': 'Mystery'}, {'id': 6, 'name': 'Mythology'}, {'id': 40, 'name': 'Psychological'}, {'id': 37, 'name': 'Supernatural'}]",12,tv,"[{'id': 18, 'name': 'Toei Animation'}]",2007-07-13
Natsume Yuujinchou Movie: Utsusemi ni Musubu,170,8.42,"[{'id': 8, 'name': 'Drama'}, {'id': 63, 'name': 'Iyashikei'}, {'id': 6, 'name': 'Mythology'}, {'id': 25, 'name': 'Shoujo'}, {'id': 36, 'name': 'Slice of Life'}, {'id': 37, 'name': 'Supernatural'}]",1,movie,"[{'id': 1119, 'name': 'Shuka'}]",2018-09-29
Saiki Kusuo no Ψ-nan 2,171,8.42,"[{'id': 4, 'name': 'Comedy'}, {'id': 57, 'name': 'Gag Humor'}, {'id': 23, 'name': 'School'}, {'id': 27, 'name': 'Shounen'}, {'id': 31, 'name': 'Super Power'}, {'id': 37, 'name': 'Supernatural'}]",24,tv,"[{'id': 7, 'name': 'J.C.Staff'}, {'id': 1444, 'name': 'Egg Firm'}]",2018-01-17
Saiki Kusuo no Ψ-nan,172,8.41,"[{'id': 4, 'name': 'Comedy'}, {'id': 57, 'name': 'Gag Humor'}, {'id': 23, 'name': 'School'}, {'id': 27, 'name': 'Shounen'}, {'id': 31, 'name': 'Super Power'}, {'id': 37, 'name': 'Supernatural'}]",120,tv,"[{'id': 7, 'name': 'J.C.Staff'}, {'id': 1444, 'name': 'Egg Firm'}]",2016-07-04
Shingeki no Kyojin: Kuinaki Sentaku,173,8.41,"[{'id': 1, 'name': 'Action'}]",2,ova,"[{'id': 858, 'name': 'Wit Studio'}]",2014-12-09
Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,174,8.41,"[{'id': 8, 'name': 'Drama'}, {'id': 10, 'name': 'Fantasy'}]",1,movie,"[{'id': 2, 'name': 'Kyoto Animation'}]",2019-09-06
Vivy: Fluorite Eye's Song,175,8.41,"[{'id': 1, 'name': 'Action'}, {'id': 19, 'name': 'Music'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 41, 'name': 'Suspense'}, {'id': 78, 'name': 'Time Travel'}]",13,tv,"[{'id': 858, 'name': 'Wit Studio'}]",2021-04-03
Hunter x Hunter,176,8.41,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 10, 'name': 'Fantasy'}, {'id': 27, 'name': 'Shounen'}]",62,tv,"[{'id': 22, 'name': 'Nippon Animation'}]",1999-10-16
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,177,8.41,"[{'id': 4, 'name': 'Comedy'}, {'id': 40, 'name': 'Psychological'}, {'id': 74, 'name': 'Romantic Subtext'}, {'id': 23, 'name': 'School'}, {'id': 42, 'name': 'Seinen'}]",12,tv,"[{'id': 56, 'name': 'A-1 Pictures'}]",2019-01-12
Josee to Tora to Sakana-tachi,178,8.4,"[{'id': 50, 'name': 'Adult Cast'}, {'id': 8, 'name': 'Drama'}, {'id': 22, 'name': 'Romance'}, {'id': 80, 'name': 'Visual Arts'}]",1,movie,"[{'id': 4, 'name': 'Bones'}]",2020-12-25
Major S5,179,8.4,"[{'id': 27, 'name': 'Shounen'}, {'id': 30, 'name': 'Sports'}, {'id': 77, 'name': 'Team Sports'}]",25,tv,"[{'id': 118, 'name': 'SynergySP'}]",2009-01-10
Mo Dao Zu Shi,180,8.4,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 8, 'name': 'Drama'}, {'id': 10, 'name': 'Fantasy'}, {'id': 13, 'name': 'Historical'}, {'id': 7, 'name': 'Mystery'}, {'id': 6, 'name': 'Mythology'}, {'id': 72, 'name': 'Reincarnation'}]",15,ona,"[{'id': 1350, 'name': 'B.CMAY PICTURES'}]",2018-07-09
Natsume Yuujinchou Roku Specials,181,8.4,"[{'id': 8, 'name': 'Drama'}, {'id': 63, 'name': 'Iyashikei'}, {'id': 6, 'name': 'Mythology'}, {'id': 25, 'name': 'Shoujo'}, {'id': 36, 'name': 'Slice of Life'}, {'id': 37, 'name': 'Supernatural'}]",2,special,"[{'id': 1119, 'name': 'Shuka'}]",2017-09-27
Sayonara no Asa ni Yakusoku no Hana wo Kazarou,182,8.4,"[{'id': 8, 'name': 'Drama'}, {'id': 10, 'name': 'Fantasy'}]",1,movie,"[{'id': 132, 'name': 'P.A. Works'}]",2018-02-24
Kamisama Hajimemashita: Kako-hen,183,8.39,"[{'id': 4, 'name': 'Comedy'}, {'id': 10, 'name': 'Fantasy'}, {'id': 6, 'name': 'Mythology'}, {'id': 22, 'name': 'Romance'}, {'id': 25, 'name': 'Shoujo'}, {'id': 78, 'name': 'Time Travel'}]",4,ova,"[{'id': 73, 'name': 'TMS Entertainment'}]",2015-08-20
Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),184,8.39,"[{'id': 1, 'name': 'Action'}, {'id': 7, 'name': 'Mystery'}, {'id': 22, 'name': 'Romance'}, {'id': 37, 'name': 'Supernatural'}, {'id': 41, 'name': 'Suspense'}]",1,movie,"[{'id': 43, 'name': 'ufotable'}]",2009-08-08
Kaze ga Tsuyoku Fuiteiru,185,8.39,"[{'id': 50, 'name': 'Adult Cast'}, {'id': 8, 'name': 'Drama'}, {'id': 30, 'name': 'Sports'}]",23,tv,"[{'id': 10, 'name': 'Production I.G'}]",2018-10-03
Gintama°: Aizome Kaori-hen,186,8.39,"[{'id': 4, 'name': 'Comedy'}, {'id': 57, 'name': 'Gag Humor'}, {'id': 20, 'name': 'Parody'}, {'id': 27, 'name': 'Shounen'}]",2,ova,"[{'id': 1258, 'name': 'Bandai Namco Pictures'}]",2016-08-04
Houseki no Kuni,187,8.39,"[{'id': 1, 'name': 'Action'}, {'id': 51, 'name': 'Anthropomorphic'}, {'id': 8, 'name': 'Drama'}, {'id': 10, 'name': 'Fantasy'}, {'id': 7, 'name': 'Mystery'}, {'id': 42, 'name': 'Seinen'}]",12,tv,"[{'id': 1109, 'name': 'Orange'}]",2017-10-07
3-gatsu no Lion,188,8.38,"[{'id': 53, 'name': 'Childcare'}, {'id': 8, 'name': 'Drama'}, {'id': 42, 'name': 'Seinen'}, {'id': 11, 'name': 'Strategy Game'}]",22,tv,"[{'id': 44, 'name': 'Shaft'}]",2016-10-08
Barakamon,189,8.38,"[{'id': 53, 'name': 'Childcare'}, {'id': 63, 'name': 'Iyashikei'}, {'id': 36, 'name': 'Slice of Life'}, {'id': 80, 'name': 'Visual Arts'}]",12,tv,"[{'id': 290, 'name': 'Kinema Citrus'}]",2014-07-06
Chihayafuru 2,190,8.38,"[{'id': 8, 'name': 'Drama'}, {'id': 43, 'name': 'Josei'}, {'id': 64, 'name': 'Love Polygon'}, {'id': 23, 'name': 'School'}, {'id': 30, 'name': 'Sports'}, {'id': 11, 'name': 'Strategy Game'}]",25,tv,"[{'id': 11, 'name': 'Madhouse'}]",2013-01-12
Cowboy Bebop: Tengoku no Tobira,191,8.38,"[{'id': 1, 'name': 'Action'}, {'id': 50, 'name': 'Adult Cast'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 29, 'name': 'Space'}]",1,movie,"[{'id': 4, 'name': 'Bones'}]",2001-09-01
Cross Game,192,8.38,"[{'id': 8, 'name': 'Drama'}, {'id': 22, 'name': 'Romance'}, {'id': 23, 'name': 'School'}, {'id': 27, 'name': 'Shounen'}, {'id': 30, 'name': 'Sports'}, {'id': 77, 'name': 'Team Sports'}]",50,tv,"[{'id': 118, 'name': 'SynergySP'}]",2009-04-05
Kimetsu no Yaiba: Mugen Ressha-hen,193,8.38,"[{'id': 1, 'name': 'Action'}, {'id': 10, 'name': 'Fantasy'}, {'id': 13, 'name': 'Historical'}, {'id': 27, 'name': 'Shounen'}]",7,tv,"[{'id': 43, 'name': 'ufotable'}]",2021-10-10
Mushoku Tensei: Isekai Ittara Honki Dasu,194,8.38,"[{'id': 2, 'name': 'Adventure'}, {'id': 8, 'name': 'Drama'}, {'id': 9, 'name': 'Ecchi'}, {'id': 10, 'name': 'Fantasy'}, {'id': 62, 'name': 'Isekai'}, {'id': 72, 'name': 'Reincarnation'}]",11,tv,"[{'id': 1993, 'name': 'Studio Bind'}]",2021-01-11
Tensei shitara Slime Datta Ken 2nd Season,195,8.38,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 4, 'name': 'Comedy'}, {'id': 10, 'name': 'Fantasy'}, {'id': 62, 'name': 'Isekai'}, {'id': 72, 'name': 'Reincarnation'}, {'id': 27, 'name': 'Shounen'}]",12,tv,"[{'id': 441, 'name': '8bit'}]",2021-01-12
Made in Abyss Movie 2: Hourou Suru Tasogare,196,8.37,"[{'id': 2, 'name': 'Adventure'}, {'id': 8, 'name': 'Drama'}, {'id': 10, 'name': 'Fantasy'}, {'id': 58, 'name': 'Gore'}, {'id': 7, 'name': 'Mystery'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 76, 'name': 'Survival'}]",1,movie,"[{'id': 290, 'name': 'Kinema Citrus'}]",2019-01-18
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,197,8.37,"[{'id': 8, 'name': 'Drama'}, {'id': 10, 'name': 'Fantasy'}, {'id': 66, 'name': 'Mahou Shoujo'}, {'id': 40, 'name': 'Psychological'}, {'id': 41, 'name': 'Suspense'}]",1,movie,"[{'id': 44, 'name': 'Shaft'}]",2012-10-13
Mo Dao Zu Shi: Xian Yun Pian,198,8.37,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 8, 'name': 'Drama'}, {'id': 10, 'name': 'Fantasy'}, {'id': 13, 'name': 'Historical'}, {'id': 7, 'name': 'Mystery'}, {'id': 6, 'name': 'Mythology'}, {'id': 72, 'name': 'Reincarnation'}]",8,ona,"[{'id': 1350, 'name': 'B.CMAY PICTURES'}]",2019-08-03
Non Non Biyori Nonstop,199,8.37,"[{'id': 52, 'name': 'CGDCT'}, {'id': 63, 'name': 'Iyashikei'}, {'id': 42, 'name': 'Seinen'}, {'id': 36, 'name': 'Slice of Life'}]",12,tv,"[{'id': 300, 'name': 'SILVER LINK.'}]",2021-01-11
Kaze no Tani no Nausicaä,200,8.36,"[{'id': 2, 'name': 'Adventure'}, {'id': 46, 'name': 'Award Winning'}, {'id': 10, 'name': 'Fantasy'}]",1,movie,"[{'id': 363, 'name': 'Topcraft'}]",1984-03-11
Kizumonogatari I: Tekketsu-hen,201,8.36,"[{'id': 1, 'name': 'Action'}, {'id': 7, 'name': 'Mystery'}, {'id': 37, 'name': 'Supernatural'}, {'id': 32, 'name': 'Vampire'}]",1,movie,"[{'id': 44, 'name': 'Shaft'}]",2016-01-08
Mahou Shoujo Madoka★Magica,202,8.36,"[{'id': 46, 'name': 'Award Winning'}, {'id': 8, 'name': 'Drama'}, {'id': 10, 'name': 'Fantasy'}, {'id': 66, 'name': 'Mahou Shoujo'}, {'id': 40, 'name': 'Psychological'}, {'id': 41, 'name': 'Suspense'}]",12,tv,"[{'id': 44, 'name': 'Shaft'}]",2011-01-07
Baccano!,203,8.36,"[{'id': 1, 'name': 'Action'}, {'id': 4, 'name': 'Comedy'}, {'id': 13, 'name': 'Historical'}, {'id': 7, 'name': 'Mystery'}, {'id': 68, 'name': 'Organized Crime'}, {'id': 37, 'name': 'Supernatural'}]",13,tv,"[{'id': 112, 'name': ""Brain's Base""}]",2007-07-27
Haikyuu!! To the Top,204,8.36,"[{'id': 23, 'name': 'School'}, {'id': 27, 'name': 'Shounen'}, {'id': 30, 'name': 'Sports'}, {'id': 77, 'name': 'Team Sports'}]",13,tv,"[{'id': 10, 'name': 'Production I.G'}]",2020-01-11
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,205,8.36,"[{'id': 4, 'name': 'Comedy'}, {'id': 64, 'name': 'Love Polygon'}, {'id': 22, 'name': 'Romance'}, {'id': 23, 'name': 'School'}]",12,tv,"[{'id': 91, 'name': 'feel.'}]",2020-07-10
Suzume no Tojimari,206,8.35,"[{'id': 2, 'name': 'Adventure'}, {'id': 10, 'name': 'Fantasy'}, {'id': 6, 'name': 'Mythology'}]",1,movie,"[{'id': 291, 'name': 'CoMix Wave Films'}]",2022-11-11
Usagi Drop,207,8.35,"[{'id': 53, 'name': 'Childcare'}, {'id': 63, 'name': 'Iyashikei'}, {'id': 43, 'name': 'Josei'}, {'id': 36, 'name': 'Slice of Life'}]",11,tv,"[{'id': 10, 'name': 'Production I.G'}]",2011-07-08
Neon Genesis Evangelion,208,8.35,"[{'id': 1, 'name': 'Action'}, {'id': 5, 'name': 'Avant Garde'}, {'id': 46, 'name': 'Award Winning'}, {'id': 8, 'name': 'Drama'}, {'id': 18, 'name': 'Mecha'}, {'id': 40, 'name': 'Psychological'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 41, 'name': 'Suspense'}]",26,tv,"[{'id': 6, 'name': 'Gainax'}, {'id': 103, 'name': 'Tatsunoko Production'}]",1995-10-04
Fumetsu no Anata e,209,8.35,"[{'id': 2, 'name': 'Adventure'}, {'id': 8, 'name': 'Drama'}, {'id': 27, 'name': 'Shounen'}, {'id': 37, 'name': 'Supernatural'}]",20,tv,"[{'id': 112, 'name': ""Brain's Base""}]",2021-04-12
Gintama: Shiroyasha Koutan,210,8.35,"[{'id': 1, 'name': 'Action'}, {'id': 4, 'name': 'Comedy'}, {'id': 13, 'name': 'Historical'}, {'id': 20, 'name': 'Parody'}, {'id': 24, 'name': 'Sci-Fi'}]",1,special,"[{'id': 14, 'name': 'Sunrise'}]",2008-09-21
Hellsing Ultimate,211,8.35,"[{'id': 1, 'name': 'Action'}, {'id': 50, 'name': 'Adult Cast'}, {'id': 58, 'name': 'Gore'}, {'id': 14, 'name': 'Horror'}, {'id': 38, 'name': 'Military'}, {'id': 42, 'name': 'Seinen'}, {'id': 37, 'name': 'Supernatural'}, {'id': 32, 'name': 'Vampire'}]",10,ova,"[{'id': 11, 'name': 'Madhouse'}, {'id': 41, 'name': 'Satelight'}, {'id': 406, 'name': 'Asahi Production'}, {'id': 553, 'name': 'Marvy Jack'}, {'id': 894, 'name': 'Graphinica'}, {'id': 909, 'name': 'Studio Kelmadick'}]",2006-02-10
K-On! Movie,212,8.35,"[{'id': 46, 'name': 'Award Winning'}, {'id': 52, 'name': 'CGDCT'}, {'id': 4, 'name': 'Comedy'}, {'id': 19, 'name': 'Music'}]",1,movie,"[{'id': 2, 'name': 'Kyoto Animation'}]",2011-12-03
Bakuman. 2nd Season,213,8.34,"[{'id': 4, 'name': 'Comedy'}, {'id': 8, 'name': 'Drama'}, {'id': 69, 'name': 'Otaku Culture'}, {'id': 22, 'name': 'Romance'}, {'id': 27, 'name': 'Shounen'}]",25,tv,"[{'id': 7, 'name': 'J.C.Staff'}]",2011-10-01
IDOLiSH7 Third Beat! Part 2,214,8.34,"[{'id': 8, 'name': 'Drama'}, {'id': 61, 'name': 'Idols (Male)'}, {'id': 19, 'name': 'Music'}]",17,tv,"[{'id': 1103, 'name': 'TROYCA'}]",2022-10-02
Initial D First Stage,215,8.34,"[{'id': 1, 'name': 'Action'}, {'id': 8, 'name': 'Drama'}, {'id': 3, 'name': 'Racing'}, {'id': 42, 'name': 'Seinen'}]",26,tv,"[{'id': 36, 'name': 'Gallop'}, {'id': 126, 'name': 'Studio Comet'}]",1998-04-19
Tian Guan Cifu,216,8.34,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 8, 'name': 'Drama'}, {'id': 10, 'name': 'Fantasy'}, {'id': 13, 'name': 'Historical'}, {'id': 6, 'name': 'Mythology'}]",11,ona,"[{'id': 1325, 'name': 'Haoliners Animation League'}]",2020-10-31
Psycho-Pass,217,8.34,"[{'id': 1, 'name': 'Action'}, {'id': 50, 'name': 'Adult Cast'}, {'id': 39, 'name': 'Detective'}, {'id': 7, 'name': 'Mystery'}, {'id': 40, 'name': 'Psychological'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 41, 'name': 'Suspense'}]",22,tv,"[{'id': 10, 'name': 'Production I.G'}]",2012-10-12
Ramayana: The Legend of Prince Rama,218,8.34,"[{'id': 2, 'name': 'Adventure'}]",1,movie,"[{'id': 2010, 'name': 'Nippon Ramayana Film Co.'}]",1993-01-15
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,219,8.34,"[{'id': 8, 'name': 'Drama'}, {'id': 10, 'name': 'Fantasy'}, {'id': 62, 'name': 'Isekai'}, {'id': 40, 'name': 'Psychological'}, {'id': 41, 'name': 'Suspense'}, {'id': 78, 'name': 'Time Travel'}]",13,tv,"[{'id': 314, 'name': 'White Fox'}]",2020-07-08
Kidou Senshi Gundam: The Origin,220,8.33,"[{'id': 1, 'name': 'Action'}, {'id': 18, 'name': 'Mecha'}, {'id': 38, 'name': 'Military'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 27, 'name': 'Shounen'}, {'id': 29, 'name': 'Space'}]",6,ova,"[{'id': 14, 'name': 'Sunrise'}]",2015-02-28
Kiseijuu: Sei no Kakuritsu,221,8.33,"[{'id': 1, 'name': 'Action'}, {'id': 58, 'name': 'Gore'}, {'id': 14, 'name': 'Horror'}, {'id': 40, 'name': 'Psychological'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 42, 'name': 'Seinen'}]",24,tv,"[{'id': 11, 'name': 'Madhouse'}]",2014-10-09
Natsume Yuujinchou: Itsuka Yuki no Hi ni,222,8.33,"[{'id': 8, 'name': 'Drama'}, {'id': 63, 'name': 'Iyashikei'}, {'id': 6, 'name': 'Mythology'}, {'id': 25, 'name': 'Shoujo'}, {'id': 36, 'name': 'Slice of Life'}, {'id': 37, 'name': 'Supernatural'}]",1,ova,"[{'id': 112, 'name': ""Brain's Base""}]",2014-02-05
One Outs,223,8.33,"[{'id': 50, 'name': 'Adult Cast'}, {'id': 40, 'name': 'Psychological'}, {'id': 42, 'name': 'Seinen'}, {'id': 30, 'name': 'Sports'}, {'id': 77, 'name': 'Team Sports'}]",25,tv,"[{'id': 11, 'name': 'Madhouse'}]",2008-10-08
Romeo no Aoi Sora,224,8.33,"[{'id': 2, 'name': 'Adventure'}, {'id': 8, 'name': 'Drama'}, {'id': 13, 'name': 'Historical'}]",33,tv,"[{'id': 22, 'name': 'Nippon Animation'}]",1995-01-15
Sasaki to Miyano Movie: Sotsugyou-hen,225,8.33,"[{'id': 28, 'name': 'Boys Love'}, {'id': 69, 'name': 'Otaku Culture'}, {'id': 23, 'name': 'School'}]",1,movie,"[{'id': 37, 'name': 'Studio Deen'}]",2023-02-17
Bakemonogatari,226,8.33,"[{'id': 7, 'name': 'Mystery'}, {'id': 22, 'name': 'Romance'}, {'id': 37, 'name': 'Supernatural'}, {'id': 32, 'name': 'Vampire'}]",15,tv,"[{'id': 44, 'name': 'Shaft'}]",2009-07-03
Boku no Hero Academia 6th Season,227,8.33,"[{'id': 1, 'name': 'Action'}, {'id': 23, 'name': 'School'}, {'id': 27, 'name': 'Shounen'}, {'id': 31, 'name': 'Super Power'}]",25,tv,"[{'id': 4, 'name': 'Bones'}]",2022-10-01
Tensei shitara Slime Datta Ken 2nd Season Part 2,228,8.33,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 4, 'name': 'Comedy'}, {'id': 10, 'name': 'Fantasy'}, {'id': 62, 'name': 'Isekai'}, {'id': 72, 'name': 'Reincarnation'}, {'id': 27, 'name': 'Shounen'}]",12,tv,"[{'id': 441, 'name': '8bit'}]",2021-07-06
Uchuu Senkan Yamato 2199,229,8.33,"[{'id': 1, 'name': 'Action'}, {'id': 50, 'name': 'Adult Cast'}, {'id': 8, 'name': 'Drama'}, {'id': 38, 'name': 'Military'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 29, 'name': 'Space'}]",26,ova,"[{'id': 27, 'name': 'Xebec'}, {'id': 48, 'name': 'AIC'}]",2012-05-25
Versailles no Bara,230,8.33,"[{'id': 8, 'name': 'Drama'}, {'id': 13, 'name': 'Historical'}, {'id': 38, 'name': 'Military'}, {'id': 22, 'name': 'Romance'}, {'id': 25, 'name': 'Shoujo'}]",40,tv,"[{'id': 65, 'name': 'Tokyo Movie Shinsha'}]",1979-10-10
"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",231,8.33,"[{'id': 8, 'name': 'Drama'}, {'id': 10, 'name': 'Fantasy'}]",1,special,"[{'id': 2, 'name': 'Kyoto Animation'}]",2018-07-04
Tian Guan Cifu Special,232,8.32,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 8, 'name': 'Drama'}, {'id': 10, 'name': 'Fantasy'}, {'id': 13, 'name': 'Historical'}, {'id': 6, 'name': 'Mythology'}]",1,ona,"[{'id': 1325, 'name': 'Haoliners Animation League'}]",2021-02-16
Kingdom 2nd Season,233,8.32,"[{'id': 1, 'name': 'Action'}, {'id': 13, 'name': 'Historical'}, {'id': 38, 'name': 'Military'}, {'id': 42, 'name': 'Seinen'}]",39,tv,"[{'id': 1, 'name': 'Pierrot'}]",2013-06-08
Major S6,234,8.32,"[{'id': 27, 'name': 'Shounen'}, {'id': 30, 'name': 'Sports'}, {'id': 77, 'name': 'Team Sports'}]",25,tv,"[{'id': 118, 'name': 'SynergySP'}]",2010-04-03
Mushoku Tensei II: Isekai Ittara Honki Dasu,235,8.32,"[{'id': 2, 'name': 'Adventure'}, {'id': 8, 'name': 'Drama'}, {'id': 9, 'name': 'Ecchi'}, {'id': 10, 'name': 'Fantasy'}, {'id': 62, 'name': 'Isekai'}, {'id': 72, 'name': 'Reincarnation'}]",12,tv,"[{'id': 1993, 'name': 'Studio Bind'}]",2023-07-10
Natsume Yuujinchou Go Specials,236,8.32,"[{'id': 8, 'name': 'Drama'}, {'id': 63, 'name': 'Iyashikei'}, {'id': 6, 'name': 'Mythology'}, {'id': 25, 'name': 'Shoujo'}, {'id': 36, 'name': 'Slice of Life'}, {'id': 37, 'name': 'Supernatural'}]",2,special,"[{'id': 1119, 'name': 'Shuka'}]",2017-03-30
Fate/stay night: Unlimited Blade Works 2nd Season,237,8.32,"[{'id': 1, 'name': 'Action'}, {'id': 10, 'name': 'Fantasy'}, {'id': 37, 'name': 'Supernatural'}]",13,tv,"[{'id': 43, 'name': 'ufotable'}]",2015-04-05
Given,238,8.32,"[{'id': 28, 'name': 'Boys Love'}, {'id': 8, 'name': 'Drama'}, {'id': 19, 'name': 'Music'}, {'id': 23, 'name': 'School'}]",11,tv,"[{'id': 456, 'name': 'Lerche'}]",2019-07-12
Hibike! Euphonium 2,239,8.31,"[{'id': 8, 'name': 'Drama'}, {'id': 19, 'name': 'Music'}, {'id': 70, 'name': 'Performing Arts'}, {'id': 23, 'name': 'School'}]",13,tv,"[{'id': 2, 'name': 'Kyoto Animation'}]",2016-10-06
Hunter x Hunter: Original Video Animation,240,8.31,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 10, 'name': 'Fantasy'}, {'id': 27, 'name': 'Shounen'}]",8,ova,"[{'id': 22, 'name': 'Nippon Animation'}]",2002-01-17
Kage no Jitsuryokusha ni Naritakute!,241,8.31,"[{'id': 1, 'name': 'Action'}, {'id': 4, 'name': 'Comedy'}, {'id': 10, 'name': 'Fantasy'}, {'id': 62, 'name': 'Isekai'}, {'id': 72, 'name': 'Reincarnation'}]",20,tv,"[{'id': 852, 'name': 'Nexus'}]",2022-10-05
